T,V,
-0.0856,-0.01,0
-0.0854,0.012,0
-0.0852,-0.006,0
-0.085,-0.002,0
-0.0848,0.03,0
-0.0846,0.008,0
-0.0844,0.012,0
-0.0842,-0.008,0
-0.084,0.016,0
-0.0838,0.002,0
-0.0836,-0.002,0
-0.0834,0.01,0.2
-0.0832,-0.01,0
-0.083,0.018,0
-0.0828,-0.012,0
-0.0826,0.002,0
-0.0824,0.004,0
-0.0822,0.006,0
-0.082,0.002,0
-0.0818,0.024,0
-0.0816,0.006,0
-0.0814,-0.01,0
-0.0812,-0.016,0
-0.081,-0.02,0
-0.0808,0.006,0
-0.0806,0.018,0.2
-0.0804,-0.018,0
-0.0802,0.016,0
-0.08,0.002,0
-0.0798,0,0.2
-0.0796,-0.016,0
-0.0794,0.002,0
-0.0792,-0.022,0
-0.079,-0.004,0
-0.0788,-0.02,0
-0.0786,-0.008,0
-0.0784,0.018,0
-0.0782,0.022,0
-0.078,-0.008,0
-0.0778,-0.004,0
-0.0776,-0.018,0
-0.0774,-0.002,0
-0.0772,0,0
-0.077,0.002,0
-0.0768,-0.01,0
-0.0766,-0.008,0
-0.0764,-0.01,0
-0.0762,0,0
-0.076,0.004,0
-0.0758,-0.012,0
-0.0756,-0.018,0
-0.0754,0.014,0
-0.0752,-0.01,0
-0.075,-0.008,0
-0.0748,0.028,0
-0.0746,0.006,0
-0.0744,-0.01,0
-0.0742,-0.016,0
-0.074,-0.006,0
-0.0738,-0.006,0
-0.0736,-0.014,0
-0.0734,0.016,0
-0.0732,0.006,0.2
-0.073,-0.018,0
-0.0728,-0.018,0
-0.0726,0.008,0
-0.0724,0.018,0
-0.0722,0.02,0
-0.072,-0.012,0
-0.0718,0.01,0
-0.0716,-0.022,0
-0.0714,-0.006,0
-0.0712,0.002,0.2
-0.071,-0.002,0
-0.0708,0.006,0
-0.0706,-0.028,0
-0.0704,0.01,0
-0.0702,-0.012,0.2
-0.07,-0.008,0
-0.0698,0.004,0
-0.0696,-0.002,0
-0.0694,-0.008,0
-0.0692,-0.012,0
-0.069,0,0
-0.0688,0.014,0
-0.0686,0.002,0
-0.0684,-0.024,0.2
-0.0682,0.01,0
-0.068,-0.006,0
-0.0678,0.016,0
-0.0676,-0.008,0
-0.0674,-0.01,0
-0.0672,-0.02,0.2
-0.067,-0.018,0
-0.0668,0.006,0
-0.0666,0.006,0
-0.0664,-0.02,0
-0.0662,0,0
-0.066,-0.002,0.2
-0.0658,0.006,0
-0.0656,-0.014,0
-0.0654,0.012,0
-0.0652,-0.012,0
-0.065,-0.008,0
-0.0648,0.004,0
-0.0646,0.018,0
-0.0644,0.02,0
-0.0642,0.002,0
-0.064,0.004,0
-0.0638,-0.008,-0.2
-0.0636,0.002,0.2
-0.0634,0.008,0.2
-0.0632,0.014,0
-0.063,-0.026,0
-0.0628,0.006,0.2
-0.0626,-0.022,0
-0.0624,-0.024,0
-0.0622,0.026,0
-0.062,0,0
-0.0618,0.002,0
-0.0616,-0.002,0
-0.0614,0.018,0
-0.0612,0.008,0
-0.061,-0.016,0
-0.0608,-0.004,0.2
-0.0606,-0.006,0
-0.0604,0.01,0.2
-0.0602,-0.008,0
-0.06,0.012,0
-0.0598,0.006,0
-0.0596,-0.002,0
-0.0594,0.016,0
-0.0592,0.018,0.2
-0.059,-0.008,0
-0.0588,0.024,0
-0.0586,0.008,0
-0.0584,-0.002,0.2
-0.0582,0.01,0
-0.058,0.006,0
-0.0578,-0.012,0
-0.0576,0.006,0.2
-0.0574,0.008,0
-0.0572,0.012,0
-0.057,0.01,0
-0.0568,0,0
-0.0566,0.008,0
-0.0564,0.032,0
-0.0562,-0.002,0
-0.056,-0.018,0
-0.0558,-0.01,0
-0.0556,-0.028,0
-0.0554,-0.008,0
-0.0552,0.006,0
-0.055,0.024,0.2
-0.0548,0.012,0
-0.0546,-0.01,0
-0.0544,-0.01,0
-0.0542,-0.002,0
-0.054,0.022,0
-0.0538,0.004,0
-0.0536,0.006,0
-0.0534,0.008,0
-0.0532,-0.004,0
-0.053,-0.008,0
-0.0528,0.002,0
-0.0526,-0.02,0
-0.0524,-0.008,0
-0.0522,0.012,0
-0.052,0.016,0
-0.0518,0.008,0
-0.0516,-0.018,0
-0.0514,0.01,0.2
-0.0512,0.016,0.2
-0.051,0.008,0
-0.0508,0.018,0
-0.0506,0.004,0
-0.0504,-0.016,0
-0.0502,0.02,0
-0.05,-0.03,0
-0.0498,-0.008,0
-0.0496,-0.028,0.2
-0.0494,-0.004,0
-0.0492,-0.026,0
-0.049,0.006,0
-0.0488,-0.018,0
-0.0486,0.008,0
-0.0484,-0.02,0
-0.0482,-0.02,0
-0.048,0.002,0
-0.0478,0,0
-0.0476,0.006,0.2
-0.0474,-0.022,0
-0.0472,0,0
-0.047,-0.008,0
-0.0468,-0.012,-0.2
-0.0466,0.008,0
-0.0464,-0.016,0
-0.0462,-0.004,0
-0.046,0.006,0
-0.0458,-0.01,0
-0.0456,0.006,0
-0.0454,-0.012,0
-0.0452,0.012,0
-0.045,0.014,0
-0.0448,-0.008,0
-0.0446,0.008,0
-0.0444,0.012,0
-0.0442,0.026,0
-0.044,-0.01,0
-0.0438,0.006,0
-0.0436,-0.006,0
-0.0434,-0.016,0
-0.0432,-0.002,0
-0.043,-0.01,0.2
-0.0428,0.008,0
-0.0426,0.018,0
-0.0424,-0.01,0
-0.0422,0.004,0
-0.042,-0.012,0
-0.0418,0.018,0
-0.0416,0.006,0
-0.0414,-0.022,0.2
-0.0412,-0.012,0
-0.041,0.02,0
-0.0408,-0.002,0
-0.0406,-0.008,-0.2
-0.0404,0.004,-0.2
-0.0402,-0.01,0
-0.04,0.004,0
-0.0398,-0.008,0
-0.0396,-0.004,0
-0.0394,0.016,0.2
-0.0392,-0.002,0
-0.039,0.012,0
-0.0388,-0.012,0
-0.0386,-0.006,0
-0.0384,0.008,0.2
-0.0382,-0.008,0
-0.038,-0.004,0
-0.0378,-0.014,0
-0.0376,-0.02,0
-0.0374,-0.01,0
-0.0372,0.004,0
-0.037,-0.008,0
-0.0368,0.022,0
-0.0366,0.014,0
-0.0364,-0.018,0
-0.0362,0.004,0
-0.036,-0.02,0
-0.0358,-0.004,0
-0.0356,0.004,0
-0.0354,0.008,0
-0.0352,0.01,0
-0.035,0.002,0
-0.0348,-0.018,0
-0.0346,0.018,0
-0.0344,0.006,0
-0.0342,-0.002,0
